Front	Back
Следует ли из асимптотической нормальности **асимптотическая несмещённость**?	**НЕТ** (контрпример Ивана Александровича). Можно построить оценку \(\hat{\theta} = \overline{X}\) с вероятностью \(1 - 1/n\) и \(\hat{\theta} = n\) с вероятностью \(1/n\): асимпт. нормальна, но \(\mathbb{E}\hat{\theta} = 1 \neq 0\).
Дай определение **функции правдоподобия**	Для простейшей выборки (i.i.d.) совместная плотность есть произведение плотностей: \[L(X, \theta) = \prod_{k=1}^{n} p(X_k, \theta)\] Интуитивно — «вероятность выборки» при данном \(\theta\).
Дай определение **оценки максимального правдоподобия (ОМП)**	\[\hat{\theta} = \arg\max_{\theta} L(X, \theta)\] То значение \(\theta\), при котором достигается максимум функции правдоподобия.
Алгоритм поиска ОМП (стандартная процедура)	1) Может удастся найти прямо (посмотреть на \(L\)). 2) Перейти к \(\ln L\) (логарифм монотонен, сумма вместо произведения). 3) Найти производную, приравнять к 0, проверить максимум.
ОМП для **равномерного** \(U[\theta_1, \theta_2]\)	Анализ: индикатор должен быть = 1 → \(\theta_1 \leq \min X_k, \theta_2 \geq \max X_k\); и \((\theta_2 - \theta_1)^n\) должно быть минимальным. **Ответ**: \(\hat{\theta}_1 = \min X_k, \hat{\theta}_2 = \max X_k\).
ОМП для распределения **Лапласа**	\(p(x, \theta) = \frac{1}{2}e^{-|x - \theta|}\). Нужно минимизировать \(\sum |X_k - \theta|\). **Известный факт**: медиана минимизирует среднее абсолютное отклонение. Ответ: \(\hat{\theta} = \widehat{\text{med}}\).
ОМП для **нормального** \(\mathcal{N}(\mu, b)\)	\(\hat{\mu} = \overline{X}\), \(\hat{b} = S_*^2\) (выборочная дисперсия со звёздочкой). Те же оценки, что и в методе моментов.
ОМП для дискретного распределения на \(m\) значениях	\(\hat{p}_j = \frac{\nu_j}{n}\), где \(\nu_j\) — количество исходов типа \(j\). Интерпретация: оценить вероятность исхода \(j\) = доля таких исходов в выборке.
Условия регулярности модели (для информации Фишера)	1) Идентифицируемость: \(\theta_1 \neq \theta_2 \Rightarrow F_{\theta_1} \neq F_{\theta_2}\). 2) **Носитель не зависит от \(\theta\)**. 3) \(p(x, \theta)\) дифференцируема по \(\theta\). 4) Можно вносить \(\partial/\partial\theta\) под интеграл. 5) \(\mathbb{E}V^2 < \infty\).
Почему \(U[\theta_1, \theta_2]\) **не регулярна**?	Носитель распределения **зависит от параметров** (носитель = \([\theta_1, \theta_2]\)) — нарушено условие 2 регулярности. Для неё информация Фишера не определена.
Что такое **вклад выборки**?	\[V(X, \theta) = \frac{\partial \ln L(X, \theta)}{\partial \theta}\] — логарифмическая производная функции правдоподобия. Свойство: \(\mathbb{E}V = 0\).
Откуда название «вклад выборки» (интуиция)?	По аналогии с градиентным спуском: чем больше \(|V|\), тем быстрее численный метод найдёт оценку. Поэтому **больший вклад = лучше**.
Дай определение **информации Фишера**	\[I(\theta) = \text{Var}[V(X, \theta)] = \text{Var}\left[\frac{\partial \ln L}{\partial \theta}\right]\] Поскольку \(\mathbb{E}V = 0\), это также матожидание квадрата.
Информация Фишера: свойство **аддитивности**	\[I(\theta) = n \cdot i(\theta)\] где \(i(\theta)\) — информация Фишера **для одного наблюдения**. Следует из независимости компонент выборки.
Две формулы для информации Фишера на одно наблюдение	1) Через квадрат: \(i(\theta) = \mathbb{E}\left[\left(\frac{\partial \ln p}{\partial \theta}\right)^2\right]\). 2) Через вторую производную: \(i(\theta) = -\mathbb{E}\left[\frac{\partial^2 \ln p}{\partial \theta^2}\right]\) (часто удобнее).
Как доказать, что \(\mathbb{E}V(X, \theta) = 0\)?	Из тождества \(\int L \, dX = 1\), дифференцируем по \(\theta\), используем трюк \(\frac{\partial L/\partial \theta}{L} = \frac{\partial \ln L}{\partial \theta}\): \(\int V \cdot L \, dX = 0\).
