Front	Back
В чём отличие **сложной** гипотезы от простой в критерии Пирсона?	Простая: \(H_0: p = p_0\) (конкретное значение). **Сложная**: \(H_0: p = p_0(\theta)\), где \(\theta\) — неизвестный параметр. Нужно дополнительно оценить \(\theta\).
Как обработать сложную гипотезу в критерии Пирсона?	Заменить неизвестный \(\theta\) на **оценку максимального правдоподобия** \(\hat{\theta}\). При условиях регулярности предельное распределение остаётся \(\chi^2\).
Степени свободы в **сложной** гипотезе Пирсона	\[\text{df} = N - 1 - r\] где \(N\) — число значений, \(r\) — размерность параметра \(\theta\). От обычной \(N-1\) отнимаем размерность оценённого параметра.
Условия для сложной гипотезы Пирсона	1) \(r < N - 1\). 2) \(\partial p_0/\partial\theta\) непрерывна. 3) \(\partial^2 p_0/\partial\theta^2\) непрерывна. 4) Матрица производных \(\partial p_{0i}/\partial\theta_g\) имеет ранг \(r\).
Постановка **критерия однородности \(\chi^2\)**	\(K\) независимых выборок, каждая принимает значения от 1 до \(N\). \(H_0: p_1 = p_2 = \ldots = p_K\) (общее \(p_0\)).
Оценка \(\hat{p}_0\) в критерии однородности \(\chi^2\)	\[\hat{p}_{0g} = \frac{\nu_{1g} + \nu_{2g} + \ldots + \nu_{Kg}}{n}\] — суммарное количество исходов \(g\) по всем выборкам, делённое на общий объём.
Степени свободы для **критерия однородности \(\chi^2\)**	\[\text{df} = (N-1)(K-1)\] Вывод: \(K(N-1) - (N-1)\) — отнимаем \(N-1\) (размерность оценённого вектора \(p\), с учётом \(\sum p_g = 1\)).
Постановка **критерия независимости \(\chi^2\)**	Парная выборка \((X_i, Y_i)\), \(X \in \{1..N\}, Y \in \{1..M\}\). \(H_0: p_{ig} = p_{X_i} \cdot p_{Y_g}\) (независимость).
Что такое **таблица сопряжённости** (contingency table)?	Таблица: строки = значения \(X\), столбцы = значения \(Y\), в ячейках \(\nu_{ig}\). Маргинальные суммы: \(\nu_{i*}\) (по строкам), \(\nu_{*g}\) (по столбцам).
Оценки вероятностей в критерии независимости	По маргинальным суммам: \(\hat{p}_{X_i} = \nu_{i*}/n\), \(\hat{p}_{Y_g} = \nu_{*g}/n\).
Степени свободы для **критерия независимости \(\chi^2\)**	\[\text{df} = (N-1)(M-1)\] Вывод: \(MN - 1 - (N-1) - (M-1) = (N-1)(M-1)\). Оцениваем по \(N-1\) и \(M-1\) независимых параметров.
Зачем считаем степени свободы в \(\chi^2\)-тестах?	1) Для определения **критической области** (квантиль \(\chi^2_\text{df}\) уровня \(1-\alpha\)). 2) Для подсчёта **p-value**: \(p = 1 - \text{CDF}_\text{df}(\text{stat})\).
Тип критической области во всех **\(\chi^2\)-тестах** (Пирсон и модификации)?	**Правосторонняя**. При \(H_0\) статистика близка к среднему \(\chi^2\) (= степеням свободы); при \(H_1\) — существенно больше.
Пример применения критерия независимости	Связь «вакцина–здоровье»: парные данные (получил вакцину, болен/нет). Если \(\chi^2\)-тест отвергает независимость → вакцина **влияет** на здоровье (направление влияния — отдельный вопрос).
