Front	Back
Какое **усиление предположений** добавляется в лекции 12?	**Гауссовские ошибки**: \(\varepsilon \sim \mathcal{N}(0, \sigma^2 E)\). Тогда \(y \sim \mathcal{N}(Xc, \sigma^2 E)\) (т.к. линейное преобразование).
Связь ОНК и **метода максимального правдоподобия** при нормальных ошибках	Максимизация \(L(c, \sigma^2)\) по \(c\) равносильна минимизации \((y-Xc)^T(y-Xc) = S^2(c)\). Значит: **ОНК \(=\) ОМП** при нормальности.
Что усиливается в теореме Гаусса-Маркова при нормальности?	ОНК становится эффективной в классе **всех** несмещённых оценок (а не только линейных), поскольку ОМП в регулярной модели асимптотически эффективна.
**Теорема о нормальной регрессии** (4 пункта)	1) \(\hat{c} \sim \mathcal{N}(c, \sigma^2 A^{-1})\). 2) \(\frac{S^2(\hat{c})}{\sigma^2} \sim \chi^2_{n-m}\). 3) \(\frac{S^2(c) - S^2(\hat{c})}{\sigma^2} \sim \chi^2_m\). 4) \(\hat{c}\) и \(S^2(\hat{c})\) **независимы**. Это переформулировка теоремы Фишера.
ДИ для \(\sigma^2\) в линейной регрессии	Используем п.2 теоремы. \(P(q_{\alpha/2} \leq \frac{S^2(\hat{c})}{\sigma^2} \leq q_{1-\alpha/2}) = 1-\alpha\). Квантили \(\chi^2_{n-m}\). \[\sigma^2 \in \left(\frac{S^2(\hat{c})}{q_{1-\alpha/2}}, \frac{S^2(\hat{c})}{q_{\alpha/2}}\right)\]
Проверка гипотезы \(H_0: \sigma^2 = \sigma_0^2\) в линейной регрессии	Статистика: \(T = \frac{S^2(\hat{c})}{\sigma_0^2} \sim \chi^2_{n-m}\) при \(H_0\). Тип критической области — по альтернативе (право-/лево-/двусторонняя).
ДИ для коэффициента \(c_i\) в линейной регрессии	\[c_i \in \hat{c}_i \pm t_{1-\alpha/2,\, n-m} \cdot \sqrt{\frac{S^2(\hat{c}) \cdot (A^{-1})_{ii}}{n-m}}\] Используется распределение Стьюдента \(t_{n-m}\) (т.к. \(\sigma^2\) неизвестна, заменена на \(\hat{\sigma}^2\)).
Почему именно распределение **Стьюдента** \(t_{n-m}\) в ДИ для \(c_i\)?	Числитель: \(\frac{\hat{c}_i - c_i}{\sqrt{\sigma^2(A^{-1})_{ii}}} \sim \mathcal{N}(0,1)\). Замена \(\sigma^2\) на оценку даёт деление на корень из \(\chi^2_{n-m}/(n-m)\). По определению — \(t_{n-m}\).
**t-тест значимости коэффициента \(c_i\)**	\(H_0: c_i = 0\) («фактор не влияет»). Статистика: \[T = \frac{\sqrt{n-m} \cdot \hat{c}_i}{\sqrt{S^2(\hat{c}) \cdot (A^{-1})_{ii}}} \sim t_{n-m}\] при \(H_0\).
Примеры выбора альтернативы в t-тесте на \(c_i\)	**Цена ↔ расстояние до центра**: меньше расстояние → больше цена, ожидается \(c_i < 0\) → **левосторонняя**. **Стоимость авто ↔ мощность**: больше мощность → дороже, \(c_i > 0\) → **правосторонняя**.
**Предсказание нового значения** \(y_\nu\): оценка	Новое наблюдение: \(y_\nu = x_\nu c + \varepsilon_\nu\). Оценка: \(\hat{y}_\nu = x_\nu \hat{c} \sim \mathcal{N}(x_\nu c, \sigma^2 x_\nu A^{-1} x_\nu^T)\).
Распределение разности \(\hat{y}_\nu - y_\nu\)	Независимы (старая и новая ошибки), значит \(\hat{y}_\nu - y_\nu \sim \mathcal{N}(0, \sigma^2(1 + x_\nu A^{-1} x_\nu^T))\). Дисперсии **складываются**. Отсюда строится ДИ для \(y_\nu\).
Что такое **условная ОНК** \(\hat{c}_T\)?	Минимум \(S^2(c)\) при линейных ограничениях \(Tc = t_0\): \[\hat{c}_T = \arg\min_{Tc=t_0} S^2(c)\]
Аналитическая формула условной ОНК	\[\hat{c}_T = \hat{c} - A^{-1} T^T D^{-1}(T\hat{c} - t_0)\] где \(D = TA^{-1}T^T\) (симметрична).
Постановка **F-критерия** для линейной модели	\(H_0: Tc = t_0\) vs \(H_1: Tc \neq t_0\). Статистика: \[F = \frac{[S^2(\hat{c}_T) - S^2(\hat{c})]/k}{S^2(\hat{c})/(n-m)} \sim F_{k, n-m}\] где \(k\) — число ограничений.
Почему критическая область F-критерия **правосторонняя**?	\(\mathbb{E}\)(знаменатель) = \(\sigma^2\) всегда. \(\mathbb{E}\)(числитель) = \(\sigma^2 + (\text{штраф за нарушение } H_0)\). При \(H_0\): \(F \approx 1\). При \(H_1\): \(F > 1\) → правая критическая область.
F-критерий **«по умолчанию»**: что проверяет?	**Значимость модели в целом**. \(H_0: c_1 = c_2 = \ldots = c_m = 0\) (все коэффициенты, кроме свободного, нулевые). \(H_1\): хотя бы один \(c_i \neq 0\).
Дай определение **коэффициента детерминации** \(R^2\)	\(R = \text{corr}(y, \hat{y})\) — множественный коэффициент корреляции. \(R^2\) — коэффициент детерминации. Связь: \(S^2(\hat{c}) = (1 - R^2)\sum(y_i - \bar{y})^2\).
Интерпретация \(R^2\)	\(R^2\) близко к 1 → малая остаточная дисперсия → **модель адекватная**. \(R^2\) близко к 0 → большая остаточная дисперсия → модель плохая.
F-статистика через \(R^2\) (для гипотезы по умолчанию)	\[F = \frac{n-m}{m-1} \cdot \frac{R^2}{1-R^2}\] (исправленная формула из лекции 13).
