Front	Back
Что такое **категориальная переменная**?	Переменная, принимающая конечное число различных значений (уровней фактора). Примеры: пол (М/Ж), номер курса (1,2,3,4), специальность.
Постановка **однофакторного дисперсионного анализа (one-way ANOVA)**	Модель: \[y_{ij} = \mu_i + \varepsilon_{ij}\] где \(i = 1..I\) — уровни фактора, \(j = 1..J_i\) — наблюдения внутри группы, \(\varepsilon_{ij} \sim \mathcal{N}(0, \sigma^2)\) независимы, \(\mu_i\) — среднее влияние на уровне \(i\).
Гипотезы в ANOVA	\(H_0: \mu_1 = \mu_2 = \ldots = \mu_I\) (фактор **не влияет**). \(H_1\): существуют \(i, k\) с \(\mu_i \neq \mu_k\) (влияет).
Как закодировать категориальную переменную для регрессии?	**One-hot encoding**: \(1 \to (1,0,...,0)\), \(2 \to (0,1,...,0)\), и т.д. После такого кодирования ANOVA сводится к обычной линейной регрессии и проверяется F-тестом.
Где достигается минимум \(\sum_j (y_j - \mu)^2\)?	При \(\mu = \bar{y}\) — **выборочное среднее**. (Если бы стоял модуль вместо квадрата — медиана).
Что такое **внутригрупповая дисперсия** \(S_W^2\)?	\[S_W^2 = \sum_{i=1}^I \sum_{j=1}^{J_i} (y_{ij} - \bar{y}_{i*})^2\] Сумма квадратов отклонений внутри каждой группы (within). Соответствует \(\mathbb{E}[D(Y|X)]\).
Что такое **межгрупповая дисперсия** \(S_B^2\)?	\[S_B^2 = \sum_{i=1}^I J_i(\bar{y}_{i*} - \bar{y})^2\] Разброс групповых средних относительно общего (between). Соответствует \(D[\mathbb{E}(Y|X)]\).
**Разложение дисперсии** в ANOVA	\[S^2 = S_W^2 + S_B^2\] Идея — из формулы полного матожидания: \(D(Y) = \mathbb{E}[D(Y|X)] + D[\mathbb{E}(Y|X)]\).
Степени свободы в ANOVA	**\(S_W^2\)**: \(\text{df}_W = n - I\) (наблюдения минус группы). **\(S_B^2\)**: \(\text{df}_B = I - 1\) (количество линейно независимых ограничений в \(\mu_1 = \ldots = \mu_I\)).
**F-статистика ANOVA**	\[F = \frac{S_B^2 / (I-1)}{S_W^2 / (n-I)} \sim F(I-1, n-I)\] при \(H_0\). Тест **правосторонний** (как частный случай общего F-критерия).
Обобщения ANOVA	**Two-way ANOVA** — 2 факторные переменные. **Многофакторный** — больше. **ANCOVA** — и числовые, и категориальные переменные.
В чём **мотивация PCA** (метода главных компонент)?	Проблемы линейной регрессии: 1) \(X^TX\) может быть **вырожденной** (мультиколлинеарность). 2) Численно плохо обусловленной (медленно обращается). Также: много переменных — хочется снизить размерность.
Спектральное разложение матрицы \(A = X^TX\)	\(A\) симметрична и неотрицательно определена → собственные числа \(\lambda_i \geq 0\), собственные векторы ортонормированы. \[A = U \Lambda U^T, \quad \Lambda = \text{diag}(\lambda_1, ..., \lambda_n)\] где \(U\) — ортогональная.
Введение **новых переменных** в PCA	\(W = XU\). Тогда \(W^T W = \Lambda\) — **диагональная** матрица. Значит новые переменные **некоррелированы**, и их дисперсии на диагонали \(\Lambda\).
Снижение размерности в PCA: идея	Оставляем переменные с **большой дисперсией** (большие \(\lambda_i\)). Малые \(\lambda_i\) — переменная почти не меняется, ведёт себя как константа, особой роли не играет → отбрасываем.
Критерии остановки в PCA	1) **Порог по дисперсии**: оставляем \(w_i\) с \(\lambda_i > \tau\). 2) **Кумулятивный порог**: суммируем \(\lambda_i\) по убыванию, пока не достигнем заданной доли.
С какими проблемами борется PCA?	1) **Мультиколлинеарность** — новые переменные некоррелированы. 2) **Большое количество переменных** — снижение размерности.
Когда применяется **взвешенный МНК**?	Когда модель **гетероскедастична** — дисперсии ошибок **разные**: \(\text{Cov}(\varepsilon) = \text{diag}(\sigma_1^2, \ldots, \sigma_n^2)\). Обычный МНК уже не оптимален.
Новая функция ошибок во взвешенном МНК	\[S^2(c) = \sum_{i=1}^n \frac{1}{\sigma_i^2}\left(\sum_j x_{ij}c_j - y_i\right)^2\] Каждое слагаемое умножается на \(1/\sigma_i^2\) — «вес» обратно пропорциональный дисперсии.
**Формула оценки взвешенного МНК**	\[\hat{c} = (X^T W X)^{-1} X^T W y\] где \(W = \text{diag}(1/\sigma_1^2, \ldots, 1/\sigma_n^2)\) — диагональная матрица весов.
Что делать, если дисперсии \(\sigma_i^2\) во взвешенном МНК неизвестны?	Подставить **оценки** \(\hat{\sigma}_i^2\). При некоторых условиях формулы работают корректно.
