Front	Back
Что такое **обобщённые линейные модели** (ОЛМ)?	Расширение линейных моделей, где зависимая переменная — не обязательно непрерывная. Примеры: **логистическая регрессия** (бинарная), **регрессия Пуассона** (счётная).
Что такое **сигмоида**?	\[f(t) = \frac{1}{1 + e^{-t}}\] Свойства: \(f(+\infty) = 1\), \(f(-\infty) = 0\), \(f(0) = 1/2\). Гладкая, монотонно возрастающая.
Модель **логистической регрессии**	\(y_i \in \{0, 1\}\), и \[y_i \sim \text{Bern}\left(f(c_0 + c_1 x_{i1} + \ldots + c_m x_{im})\right)\] где \(f\) — сигмоида. \(y_i\) — бернуллиевская с вероятностью успеха = сигмоиде от линейной комбинации.
Как оцениваются коэффициенты в логистической регрессии?	**Методом максимального правдоподобия**. Минимизируется \(-\ln L\) — это и есть стандартная **функция потерь** (loss function) в ML. Аналитического решения нет — **численные методы** (градиентный спуск).
Свойства оценок коэффициентов в логистической регрессии	Поскольку получены через ОМП, они **асимптотически нормальны**. Можно строить ДИ и проверять гипотезы о \(c_i\).
Модель **регрессии Пуассона**	\(y_i \in \{0, 1, 2, \ldots\}\), и \[y_i \sim \text{Pois}\left(e^{c_0 + c_1 x_{i1} + \ldots + c_m x_{im}}\right)\] — пуассоновская с параметром = экспоненте от линейной комбинации.
Постановка **критерия отношения правдоподобия** (простые гипотезы)	\(H_0: f = f_0\) vs \(H_1: f = f_1\) (конкретные распределения). Статистика: \[L(X) = \frac{L(X|H_1)}{L(X|H_0)}\] — отношение правдоподобий.
Решающее правило критерия отношения правдоподобия	**Если \(L(X) \geq C\) — принимаем \(H_1\), иначе \(H_0\)**. Логика: если правдоподобие \(H_1\) больше, чем \(H_0\), то верим \(H_1\).
Как выбирается константа \(C\)?	Чтобы \(\psi(C) = P(L(X) \geq C \mid H_0) = \alpha\) — вероятность **ошибки первого рода** равнялась заданному уровню значимости. Можно показать: \(\psi(C) \leq 1/C\).
Формулировка **леммы Неймана–Пирсона**	Критерий отношения правдоподобия с \(C = C_\alpha\) — **оптимальный**: имеет **минимальную вероятность ошибки II рода** среди всех тестов с \(P(\text{ошибка I}) = \alpha\).
Постановка **общего** критерия отношения правдоподобия	Параметрические гипотезы: \(H_0: \theta \in \Theta_0\) vs \(H_1: \theta \in \Theta \setminus \Theta_0\). Статистика: \[\Lambda_n = \frac{\sup_{\theta \in \Theta_0} L(X, \theta)}{\sup_{\theta \in \Theta} L(X, \theta)}\]
Асимптотическое распределение \(-2 \ln \Lambda_n\)	\[-2 \ln \Lambda_n \xrightarrow{d} \chi^2_{m - r}\] где \(m = \dim \Theta\), \(r = \dim \Theta_0\). Работает в условиях асимптотической нормальности ОМП.
Почему именно \(-2 \ln \Lambda_n\) (интуиция)?	**Минус**: «переворачивает» дробь (числитель ↔ знаменатель). **Логарифм**: упрощает работу с произведениями. **Двойка**: \(2\ln x = \ln x^2\), и сумма логарифмов \(\to\) сумма квадратов \(\to \chi^2\).
Проверка значимости **логистической регрессии**: гипотезы	\(H_0: c_1 = c_2 = \ldots = c_m = 0\) (все коэффициенты, кроме свободного, нулевые → переменные не влияют). \(\dim\Theta_0 = 1\) (остался \(c_0\)). \(\dim\Theta = m + 1\). df = \(m\).
Решающее правило в общем критерии отношения правдоподобия	**Если \(-2\ln\Lambda_n < \tilde{C}\)** — принимаем \(H_0\), иначе \(H_1\). \(\tilde{C}\) — квантиль распределения \(\chi^2_{m-r}\) уровня \(1 - \alpha\). Критическая область — правосторонняя.
Пример: проверка \(H_0: \mathcal{N}(0,1)\) vs \(H_1: \mathcal{N}(1,1)\)	После взятия логарифма \(L(X) \geq C\) сводится к: \(\sum x_i \geq \tilde{C} + n/2\). При \(H_0\): \(\sum x_i \sim \mathcal{N}(0, n)\). При \(H_1\): \(\sum x_i \sim \mathcal{N}(n, n)\).
Геометрическая интерпретация \(\alpha\) и \(\beta\) в простых гипотезах	Две гауссианы (для \(H_0\) и \(H_1\)), вертикальная черта в \(\tilde{C}\). \(\alpha\) = площадь под **гауссианой \(H_0\)** **справа** от черты. \(\beta\) = площадь под **гауссианой \(H_1\)** **слева** от черты.
Trade-off \(\alpha\) и \(\beta\) (геометрически)	Двигая черту \(\tilde{C}\) вправо: \(\alpha \downarrow\), \(\beta \uparrow\). Двигая влево: \(\alpha \uparrow\), \(\beta \downarrow\). Невозможно одновременно занулить обе.
