Front	Back
Что такое **параметрическая модель**?	Распределение задано функцией \(F(x; \theta)\), где \(\theta \in \Theta \subseteq \mathbb{R}^d\) — неизвестный параметр (возможно, многомерный). Цель — оценить \(\theta\) функцией от выборки.
Что такое **смещение** оценки?	\(\text{bias}(\hat{\theta}) = \mathbb{E}[\hat{\theta}] - \theta\). Если 0 — несмещённая; если стремится к 0 — асимптотически несмещённая.
Дай определение **MSE** (среднеквадратическая ошибка)	\[\text{MSE}(\hat{\theta}) = \mathbb{E}\|\hat{\theta} - \theta\|^2\] где \(\|x\|^2 = x^T x\). ⚠️ Не путать со средним квадратическим отклонением \(\sqrt{\text{Var}(\hat{\theta})}\)!
Дай определение **оптимальной (эффективной)** оценки	Оценка, минимизирующая MSE в данном классе \(\mathcal{T}\): \(\hat{\theta} = \arg\min_{\tilde{\theta} \in \mathcal{T}} \text{MSE}(\tilde{\theta})\). Например, среди несмещённых.
Ключевая формула разложения MSE	\[\text{MSE}(\hat{\theta}) = \text{tr}(\Sigma_{\hat{\theta}}) + \|\text{bias}(\hat{\theta})\|^2\] MSE = след матрицы ковариаций + квадрат смещения.
Для несмещённых оценок MSE равно...	\(\text{MSE}(\hat{\theta}) = \text{tr}(\Sigma_{\hat{\theta}})\) — следу матрицы ковариаций. Поэтому эффективность можно определять через минимизацию следа \(\Sigma\).
Какие условия влекут состоятельность оценки?	Если \(\text{bias}(\hat{\theta}) \to 0\) (асимпт. несмещённость) и \(\text{Var}(\hat{\theta}) \to 0\), то оценка состоятельна. Доказательство через неравенство Чебышёва.
Следует ли из асимптотической нормальности состоятельность?	**Да** (доказывается через определение). Но из асимптотической нормальности **НЕ следует** асимптотическая несмещённость (контрпример будет позже).
Опиши алгоритм **метода моментов** (4 шага)	1) Выбрать функции \(g_1, \ldots, g_d\). 2) Записать \(\mathbb{E}[g_k(X_1)] = m_k(\theta)\). 3) Заменить теоретические матожидания на выборочные \(\overline{g_k(X)}\). 4) Решить систему уравнений на \(\hat{\theta}\).
Почему метод называется «методом **моментов**»?	По умолчанию берут степенные функции \(g_k(x) = x^k\), и тогда \(\mathbb{E}[g_k(X)] = \mathbb{E}[X^k]\) — это \(k\)-й момент.
Свойства оценок метода моментов	**Состоятельность** — обычно есть (если \(\alpha_k\) непрерывны). **Асимптотическая нормальность** — есть по дельта-методу. **Несмещённость** — в общем случае **ничего не известно**.
Главный минус метода моментов?	Часто получаются **не очень эффективные** оценки. Разные выборы \(g\) дают разные оценки — не все одинаково хороши.
Оценка метода моментов для Бернулли	\(g(x) = x\), \(\mathbb{E}X = p\), поэтому \(\hat{p} = \overline{X}\) — выборочное среднее. Несмещённая, состоятельная, асимптотически нормальная и **эффективная**.
Оценка метода моментов для нормального распределения \(\mathcal{N}(\mu, b)\)	\(\hat{\mu} = \overline{X}\) (несмещённая), \(\hat{b} = \overline{X^2} - \overline{X}^2 = S_*^2\) (смещённая). Обе состоятельные и асимптотически нормальные.
Оценка метода моментов для \(U[a, b]\)	\(\hat{a} = \overline{X} - \sqrt{3} \cdot S_*\), \(\hat{b} = \overline{X} + \sqrt{3} \cdot S_*\). Получены из системы: \(\mathbb{E}X = (a+b)/2\), \(\text{Var}X = (b-a)^2/12\).
Пуассон: две оценки методом моментов	1) Через \(g(x) = x\): \(\hat{\lambda}_1 = \overline{X}\) — **эффективная**. 2) Через \(g(x) = x^2\): \(\hat{\lambda}_2 = \frac{-1 + \sqrt{1 + 4\overline{X^2}}}{2}\) — хуже. Иллюстрирует, что разные \(g\) дают разное качество.
