Front	Back
Информация Фишера для **Бернулли**	\[i(p) = \frac{1}{p(1-p)}\] Для всей выборки: \(I_n(p) = \frac{n}{p(1-p)}\).
Многомерная информация Фишера (матрица)	\[I(\theta)_{ij} = -\mathbb{E}\left[\frac{\partial^2 \ln p}{\partial \theta_i \partial \theta_j}\right]\] Симметричная матрица вторых производных (со знаком минус).
Информационная матрица для **нормального** \(\mathcal{N}(\mu, b)\)	\[I(\mu, b) = \begin{pmatrix} 1/b & 0 \\ 0 & 1/(2b^2) \end{pmatrix}\] Диагональная — \(\hat{\mu}\) и \(\hat{b}\) «развязаны».
Формулировка **неравенства Рао–Крамера**	В регулярной модели, для несмещённой оценки \(T(x)\) функции \(\tau(\theta)\): \[D(T(x)) \geq \frac{(\tau'(\theta))^2}{n \cdot i(\theta)}\] Это нетривиальная нижняя граница дисперсии.
Идея доказательства Рао–Крамера	1) \(\tau(\theta) = \mathbb{E}[T] = \int T \cdot L \, dx\), дифференцируем. 2) Трюк с лог-производной: получаем \(\tau' = \text{Cov}(T, V)\). 3) Неравенство Коши-Буняковского: \(\text{Cov}^2(T,V) \leq D(T) \cdot D(V) = D(T) \cdot n \cdot i(\theta)\).
Когда оценка является **оптимальной** по Рао-Крамеру?	Если оценка несмещённая, регулярная и **достигает** нижней границы Рао-Крамера, то она оптимальная.
Многомерная версия Рао-Крамера	\[D(T(x)) \geq \frac{1}{n} \nabla\tau(\theta)^\top I^{-1}(\theta) \nabla\tau(\theta)\]
Эффективна ли оценка \(\hat{p} = \overline{X}\) для Бернулли?	**Да**. \(D(\overline{X}) = \frac{p(1-p)}{n}\), а нижняя граница Рао-Крамера: \(\frac{p(1-p)}{n}\) (т.к. \(i(p) = \frac{1}{p(1-p)}\)). Совпадают → эффективная.
Эффективна ли \(\hat{\mu} = \overline{X}\) для нормального закона?	**Да**. \(D(\overline{X}) = b/n\). Нижняя граница: \((1, 0) \cdot \begin{pmatrix} b & 0 \\ 0 & 2b^2 \end{pmatrix} \cdot (1, 0)^T / n = b/n\). Совпадают.
**Асимптотическая нормальность ОМП**	В регулярной модели (с дополнительными условиями на 3-ю производную): \[\sqrt{n}(\hat{\theta}_\text{ОМП} - \theta) \xrightarrow{d} \mathcal{N}(0, i^{-1}(\theta))\] Асимптотическая дисперсия = нижней границе Рао-Крамера → ОМП **асимптотически эффективна**.
Дай определение **доверительного интервала**	Статистики \(L(x), R(x)\) образуют ДИ уровня доверия \(1 - \alpha\), если \[P(\theta \in (L(x), R(x))) \geq 1 - \alpha\] Стандартно: \(1-\alpha\) = 90%, 95%, 99%.
Общая схема построения ДИ (4 шага)	1) Найти статистику \(g(x, \theta)\) с распределением, **не зависящим от \(\theta\)**. 2) Зажать между квантилями: \(P(q_{\alpha/2} \leq g \leq q_{1-\alpha/2}) = 1 - \alpha\). 3) Разрешить относительно \(\theta\).
ДИ для матожидания \(\mu\) при известной дисперсии \(\sigma^2\) (норм.)	Статистика: \(\sqrt{n} \cdot \frac{\overline{X} - \mu}{\sigma} \sim \mathcal{N}(0,1)\). ДИ: \[\mu \in \overline{X} \pm \frac{\sigma \cdot u_{1-\alpha/2}}{\sqrt{n}}\]
Дай определение распределения **хи-квадрат** \(\chi^2_n\)	Если \(x_1, \ldots, x_n \sim \mathcal{N}(0,1)\) независимы, то \(\sum_{k=1}^n x_k^2 \sim \chi^2_n\). Параметр \(n\) — число степеней свободы. Связь с гамма: \(\chi^2_n = \Gamma(n/2, 1/2)\).
Дай определение распределения **Стьюдента** \(t_n\)	\[T_n = \frac{x_0}{\sqrt{\frac{1}{n}\sum_{k=1}^n x_k^2}} \sim t_n\] где все \(x_i \sim \mathcal{N}(0,1)\) независимы. Симметрично относительно 0; при больших \(n\) → \(\mathcal{N}(0,1)\).
Дай определение распределения **Фишера** \(F_{n,m}\)	\[F_{n,m} = \frac{\chi^2_n / n}{\chi^2_m / m}\] где \(\chi^2\)-величины независимы. Используется для отношения дисперсий.
Какое распределение для каких задач (сводка)?	**\(\mathcal{N}(0,1)\)** — ДИ для \(\mu\) при известной \(\sigma\). **\(t\)** — ДИ для \(\mu\) при неизвестной \(\sigma\). **\(\chi^2\)** — ДИ для \(\sigma^2\). **\(F\)** — ДИ для отношения дисперсий.
ДИ для \(\sigma^2\) при **известном** \(\mu\) (норм.)	Статистика: \(\sum_k \frac{(x_k - \mu)^2}{\sigma^2} \sim \chi^2_n\). ДИ: \[\sigma^2 \in \left(\frac{\sum_k(x_k - \mu)^2}{q_{1-\alpha/2}}, \frac{\sum_k(x_k - \mu)^2}{q_{\alpha/2}}\right)\] Квантили \(\chi^2_n\).
**Теорема Фишера** для нормальной выборки (пункт 1)	\[\frac{n \cdot S_*^2}{\sigma^2} = \frac{(n-1) \cdot S^2}{\sigma^2} \sim \chi^2_{n-1}\] Степеней свободы: \(n-1\) (выборочное среднее «портит» одну степень).
**Теорема Фишера** (пункт 2)	\(\overline{x}\) и \(S^2\) (а также \(S_*^2\)) **независимы** — нетривиальное свойство гауссовского распределения.
ДИ для \(\sigma^2\) при **неизвестном** \(\mu\) (норм.)	По теореме Фишера: \(\frac{n S_*^2}{\sigma^2} \sim \chi^2_{n-1}\). ДИ: \[\sigma^2 \in \left(\frac{n S_*^2}{q_{1-\alpha/2}}, \frac{n S_*^2}{q_{\alpha/2}}\right)\] Квантили \(\chi^2_{n-1}\).
ДИ для \(\mu\) при **неизвестной** дисперсии (норм.)	Статистика: \(T = \sqrt{n} \cdot \frac{\overline{X} - \mu}{S_*} \sim t_{n-1}\). ДИ: \[\mu \in \overline{X} \pm \frac{S_* \cdot q_{1-\alpha/2}}{\sqrt{n}}\] Квантили \(t_{n-1}\).
Почему получается распределение Стьюдента при ДИ для \(\mu\) с неизвестной дисперсией?	Числитель = \(\mathcal{N}(0,1)\), знаменатель = корень из \(\chi^2_{n-1}/(n-1)\), числитель и знаменатель независимы (теорема Фишера) → определение \(t_{n-1}\).
