Front	Back
Статистика **критерия о медиане** (одна выборка)	Для непрерывного распределения, \(H_0: \text{med} = c\): \[\sqrt{n} \cdot p(c) \cdot \frac{x_{(n/2)} - c}{1/2} \xrightarrow{d} \mathcal{N}(0,1)\] (использует асимптотическую нормальность среднего члена вариационного ряда).
**Z-тест для одной выборки** (\(\sigma^2\) известна)	\(x_1, \ldots, x_n \sim \mathcal{N}(\mu_x, \sigma^2)\), проверка \(H_0: \mu_x = \mu_0\). Статистика: \[Z = \frac{\overline{x} - \mu_0}{\sigma_x / \sqrt{n}} \sim \mathcal{N}(0,1)\]
**T-тест для одной выборки** (\(\sigma^2\) неизвестна)	\(H_0: \mu_x = \mu_0\). Заменяем \(\sigma\) на оценку \(S\): \[T = \frac{\overline{x} - \mu_0}{S/\sqrt{n}} \sim t(n-1)\] Распределение Стьюдента с \(n-1\) степ. свободы (теорема Фишера).
Что такое **T-тест** (терминология)?	Стат-критерий, у которого статистика имеет **распределение Стьюдента** при \(H_0\).
Когда T-тест применим при малой выборке?	Если \(n \in [10, 20]\), нужен T-тест. **НО** работает адекватно только если исходное распределение **более-менее симметрично**. Иначе результатам нужно доверять с осторожностью.
**\(\chi^2\)-тест на дисперсию** (одна выборка, норм.)	\(H_0: \sigma^2_x = \sigma_0^2\). Статистика по теореме Фишера: \[\frac{n S_*^2}{\sigma_0^2} \sim \chi^2(n-1)\]
\(\chi^2\)-тест: тип критической области	\(\sigma_x^2 > \sigma_0^2\) → правосторонняя; \(\sigma_x^2 < \sigma_0^2\) → левосторонняя; \(\sigma_x^2 \neq \sigma_0^2\) → двусторонняя. При \(H_0\) среднее \(\approx n-1\).
**Парная выборка**: классический приём	Парная \((x_1, y_1), \ldots, (x_n, y_n)\), \(H_0: \mu_x = \mu_y\). Идея: рассмотреть \(u_i = x_i - y_i\), задача → \(H_0: \mathbb{E}U = 0\) (одна выборка). Применяем обычный T-тест.
**F-тест на отношение дисперсий** (две выборки)	Две независимые норм. выборки, \(H_0: \sigma_x^2 = \sigma_y^2\). Статистика: \[F = \frac{S_x^{*2}}{S_y^{*2}} \sim F(n-1, m-1)\] при \(H_0\).
Что такое **F-тест** (терминология)?	Критерии, у которых статистика имеет **распределение Фишера** при \(H_0\).
**Z-тест для двух выборок** (\(\sigma^2\) известны)	Независимые выборки, \(H_0: \mu_x = \mu_y\). Статистика: \[Z = \frac{\overline{x} - \overline{y}}{\sqrt{\sigma_x^2/n + \sigma_y^2/m}} \sim \mathcal{N}(0,1)\]
**T-тест для двух выборок** (дисперсии равны, неизвестны)	\(H_0: \mu_x = \mu_y\). По теореме Фишера: \(\frac{nS_x^{*2} + mS_y^{*2}}{\sigma^2} \sim \chi^2(n+m-2)\). Итог: \(T \sim t(n+m-2)\), \(\sigma^2\) сокращается.
«Простой» рецепт проверки **однородности** (две норм. выборки)	1) **F-тест** на равенство дисперсий. 2) Если \(H_0\) принят → **T-тест** на равенство мат. ожиданий. **Важно**: рецепт реально проверяет однородность только для **нормальных** выборок.
Что такое **тест Уэлча**?	Модификация T-теста для случая, когда **нельзя считать \(\sigma_x^2 = \sigma_y^2\)**. Используется при неравных неизвестных дисперсиях.
**Критерий согласия Колмогорова**	Простая выборка, \(H_0: F = F_0\) (где \(F_0\) **обязательно непрерывна**). Статистика: \[D_n = \sqrt{n} \sup_x |F_n(x) - F_0(x)|\] При \(H_0\): \(P(D_n \leq t) \to K(t)\). Крит. область: **правосторонняя**.
Что такое **критерий согласия**?	Тест, проверяющий **согласованность данных с заданным распределением**. Пример: Колмогоров (\(F = F_0\)).
**Критерий однородности Смирнова** (две выборки)	\(H_0: F_X = F_Y\) (непрерывные). Статистика: \[D_{m,n} = \sqrt{\frac{mn}{m+n}} \sup_x |F_n - F_m| \to K(t)\] То же распределение Колмогорова! Крит. область: правосторонняя.
Что такое **критерий однородности**?	Тест, проверяющий **равенство распределений двух и более выборок**. Примеры: Смирнов (2 выборки), \(\chi^2\)-однородности.
Зачем нужна **дискретизация распределений**?	Критерии типа \(\chi^2\) работают с конечным дискретным множеством значений. Для счётных дискретных: хвост объединяем в один. Для непрерывных: разбиваем ось на интервалы \(\Delta_1, \ldots, \Delta_k\).
**Критерий согласия Пирсона \(\chi^2\)**: статистика	\(H_0: P = P_0 = (p_{0,1}, \ldots, p_{0,n})\). \[\chi^2 = \sum_{k=1}^n \frac{(\nu_k - n p_{0,k})^2}{n p_{0,k}} \xrightarrow{d} \chi^2(n-1)\] где \(\nu_k\) — наблюдаемые частоты. Крит. область: правосторонняя.
Пирсон \(\chi^2\): рекомендации к применению	1) Объём выборки \(n\) — хотя бы несколько десятков. 2) В каждой ячейке \(\nu_k\) — **хотя бы 4-5** значений.
Тесты для проверки **нормальности**	Лучше использовать специальные тесты: **Шапиро-Уилка**, **Жака-Бера** (через асимметрию \(A\) и эксцесс \(E\): у \(\mathcal{N}(0,1)\) \(A = 0, E = 0\)). Колмогоров — для любого распределения, не самый эффективный для нормальности.
