Front	Back
Почему ЦПТ напрямую не применима к **центральным** выборочным моментам?	В слагаемых \((X_j - \overline{X})^k\) всюду встречается \(\overline{X}\), поэтому слагаемые **не независимы**. Нужен **дельта-метод**.
Почему центральные выборочные моменты **состоятельны**?	\(\hat{\beta}_k\) — полином от \(\hat{\alpha}_1, \ldots, \hat{\alpha}_k\). Начальные моменты состоятельны (по ЗБЧ), полином — непрерывная функция, поэтому сходимость сохраняется: \(\hat{\beta}_k \xrightarrow{P} \beta_k\).
Является ли \(S_*^2 = \hat{\beta}_2\) **несмещённой** оценкой?	**Нет**, она смещена. \(\mathbb{E}[S_*^2] = \frac{n-1}{n}\beta_2 \neq \beta_2\). Но **асимптотически несмещённая**.
Дай определение исправленной (несмещённой) выборочной дисперсии \(S^2\)	\[S^2 = \frac{n}{n-1} S_*^2 = \frac{1}{n-1}\sum_{i=1}^{n}(X_i - \overline{X})^2\] Свойство: \(\mathbb{E}[S^2] = \beta_2\).
Сколько разных выборочных дисперсий существует и в чём разница?	**Две**: \(S_*^2\) (со звёздочкой, делится на \(n\), смещена) и \(S^2\) (без звезды, делится на \(n-1\), исправленная — несмещённая).
В чём суть одномерного **дельта-метода**?	Если \(\sqrt{n}(\xi_n - a) \xrightarrow{d} \mathcal{N}(0, \sigma^2)\) и \(\varphi\) гладкая, то \[\sqrt{n}(\varphi(\xi_n) - \varphi(a)) \xrightarrow{d} \mathcal{N}(0, (\varphi'(a))^2 \sigma^2)\]
В чём суть **многомерного** дельта-метода?	Если \(\sqrt{n}(\xi_n - a) \xrightarrow{d} \mathcal{N}(0, \Sigma)\) и \(\varphi : \mathbb{R}^d \to \mathbb{R}\) гладкая, то \[\sqrt{n}(\varphi(\xi_n) - \varphi(a)) \xrightarrow{d} \mathcal{N}(0, \nabla\varphi(a)^\top \Sigma \nabla\varphi(a))\]
Идея доказательства одномерного дельта-метода	Разложить \(\varphi(\xi_n)\) по Тейлору с остатком в форме Лагранжа: главный член \(\varphi'(a)(\xi_n - a)\) даёт нужную нормальность, остаток сходится к 0 по вероятности.
Асимптотическая нормальность выборочной дисперсии \(S_*^2\) (через дельта-метод)	\[\frac{\sqrt{n}(S_*^2 - \mathbb{D}X)}{\sqrt{\hat{\beta}_4 - (S_*^2)^2}} \xrightarrow{d} \mathcal{N}(0,1)\] Дисперсия в пределе: \(\mu_4 - \beta_2^2\) (4-й центральный момент минус квадрат дисперсии).
Что такое **парная выборка**?	Датафрейм длины \(n\) с двумя атрибутами: \((X_1, Y_1), \ldots, (X_n, Y_n)\).
Формула **выборочной ковариации**	\[\widehat{\text{cov}}(X, Y) = \overline{(X - \overline{X})(Y - \overline{Y})} = \overline{XY} - \overline{X} \cdot \overline{Y}\]
Формула **выборочного коэффициента корреляции** (Пирсона)	\[\hat{\rho}(X, Y) = \frac{\overline{(X - \overline{X})(Y - \overline{Y})}}{\sqrt{S_{*X}^{2} \cdot S_{*Y}^{2}}}\] Принимает значения от \(-1\) до \(1\). Мера **линейной** зависимости.
Что такое **вариационный ряд**?	Отсортированная по возрастанию выборка: \(X_{(1)} \leq X_{(2)} \leq \ldots \leq X_{(n)}\). Элементы \(X_{(k)}\) — **порядковые статистики**.
Формула **выборочного квантиля** \(\hat{u}_\alpha\) (для \(\alpha \in (0,1)\))	\(\hat{u}_\alpha = X_{(\lceil n\alpha \rceil)}\) — элемент вариационного ряда с номером \(\lceil n\alpha \rceil\). Граничные: \(\hat{u}_0 = \min, \hat{u}_1 = \max\).
Что такое **квартили**?	Делят выборку на 4 равные части: 1-й квартиль \(\hat{u}_{1/4}\), 2-й (медиана) \(\hat{u}_{1/2}\), 3-й \(\hat{u}_{3/4}\).
Формула **выборочной медианы** для чётного и нечётного n	Нечётное \(n = 2m+1\): \(\widehat{\text{med}} = X_{(m+1)}\). Чётное \(n = 2m\): \(\widehat{\text{med}} = \frac{X_{(m)} + X_{(m+1)}}{2}\).
Что такое **box plot** («ящик с усами»)?	Ящик: низ = \(\hat{u}_{1/4}\), середина = медиана, верх = \(\hat{u}_{3/4}\). **IQR** = \(\hat{u}_{3/4} - \hat{u}_{1/4}\). Усы: \(1{,}5 \cdot \text{IQR}\). За усами — выбросы. В ящике 50% массы.
Что такое **violin plot**?	Box plot + сглаженная гистограмма (KDE) с двух сторон.
Асимптотическое распределение выборочного квантиля	\[\sqrt{n} \cdot f(u_p) \cdot \frac{X_{(\lceil np \rceil)} - u_p}{\sqrt{p(1-p)}} \xrightarrow{d} \mathcal{N}(0,1)\] где \(f\) — плотность, \(u_p\) — теоретический квантиль. Выборочный квантиль — **асимптотически нормальная** оценка.
Что выборочное среднее vs медиана при выбросах?	Среднее — **неробастная** оценка, сильно искажается выбросами. Медиана — **более устойчивая** (робастная) к выбросам.
