Front	Back
Что изучает математическая статистика (в отличие от теории вероятностей)?	Теория вероятностей: дано распределение → находим характеристики. **Матстатистика**: есть **генеральная совокупность** (все объекты), берём из неё конечную **выборку** и по ней делаем выводы обо всей совокупности.
Что такое генеральная совокупность?	Полный набор всех объектов изучения (например, все студенты). Часто обследовать каждый объект невозможно.
Что такое выборка?	Конечный поднабор из генеральной совокупности, по которому делают выводы обо всей совокупности.
Какое свойство выборки нужно для содержательных выводов?	**Репрезентативность**. Большой объём ≠ репрезентативность (пример: онлайн-опрос проигнорирует тех, кто не любит онлайн-анкеты).
Что такое стратифицированная выборка?	Когда генеральная совокупность делится на кластеры (страты) заранее, и из каждой страты случайно берутся объекты. Например, разбиение по возрасту/профессии.
Дай определение **простейшей выборки**	Набор \(X_1, \ldots, X_n\) **независимых одинаково распределённых** случайных величин с теоретической функцией распределения \(F(t)\). Запись: \(X_1, \ldots, X_n \sim F\).
Почему элементы выборки — случайные величины, а не числа?	Потому что в разных экспериментах получаются разные результаты. Маленькие \(x_i\) — конкретная реализация, большие \(X_i\) — случайные величины.
Дай определение **эмпирической функции распределения**	\[\hat{F}_n(t) = \frac{1}{n}\sum_{i=1}^{n} \mathbb{I}\{X_i \leq t\}\] — доля элементов выборки, не превосходящих \(t\).
Какое распределение имеет \(\nu_n(t) = \sum_{i=1}^n \mathbb{I}\{X_i \leq t\}\)?	Биномиальное: \(\nu_n(t) \sim \text{Bin}(n, F(t))\). Каждый индикатор — Бернулли с \(p = F(t)\), их \(n\) штук независимых.
Что такое **несмещённость** оценки?	Свойство: \(\mathbb{E}[\hat{\theta}] = \theta\) — матожидание оценки равно оцениваемому параметру. Смысл: **нет систематической ошибки**.
Что такое **состоятельность** оценки?	Свойство: \(\hat{\theta} \xrightarrow{P} \theta\) при \(n \to \infty\) — оценка сходится по вероятности к параметру. Смысл: при росте выборки оценка приближается к истинному значению.
Что такое **асимптотическая нормальность** оценки?	Свойство: \(\sqrt{n}\) умноженная на нормированную разность оценки и параметра сходится по распределению к \(\mathcal{N}(0,1)\).
