Front	Back
Запиши **матричную модель линейной регрессии**	\[y = Xc + \varepsilon\] \(X\) — матрица \(n \times m\) (не случайная), \(c \in \mathbb{R}^m\) — неизвестные коэффициенты, \(\varepsilon\) — случайная ошибка, \(y \in \mathbb{R}^n\) — наблюдения.
Стандартные **предположения** на ошибку \(\varepsilon\) в линейной регрессии	1) \(\mathbb{E}\varepsilon_i = 0\). 2) **Некоррелированность**: \(\text{cov}(\varepsilon_i, \varepsilon_j) = 0\) при \(i \neq j\). 3) **Гомоскедастичность**: \(\mathbb{D}\varepsilon_i = \sigma^2\) (одинаковые). Независимость пока НЕ предполагается.
Что такое **гомоскедастичность**?	Одинаковая дисперсия у всех ошибок: \(\mathbb{D}\varepsilon_i = \sigma^2\) для всех \(i\). \(\sigma^2\) при этом неизвестна. Если разные — **гетероскедастичность**.
Цель в линейной регрессии	Оценить вектор коэффициентов \(c\) и **остаточную дисперсию** \(\sigma^2\). Можно: точечно, ДИ, проверка гипотез.
Что такое **мультиколлинеарность**?	Линейная зависимость переменных. Эквивалентно: \(\text{rank}(A) < m\), где \(A = X^TX\). При отсутствии мультиколлинеарности: \(\text{rank}(A) = m\).
**Свободный член** в регрессии — как учесть?	Введя «фиктивную переменную», равную 1 для всех наблюдений: \(c_0 \cdot 1\). Тогда модель \(y = Xc + \varepsilon\) общего вида покрывает и случай со свободным членом.
Дай определение **оценки наименьших квадратов (ОНК)**	\[\hat{c} = \arg\min_c S^2(c), \quad S^2(c) = (Xc - y)^T(Xc - y)\] Минимизация квадратической ошибки.
**Формула ОНК**	\[\boxed{\hat{c} = A^{-1} X^T y}, \quad A = X^T X\] Требуется обратимость \(A\) (отсутствие мультиколлинеарности).
Ключевое соотношение, полученное при доказательстве формулы ОНК	\[S^2(c) - S^2(\hat{c}) = (c - \hat{c})^T A (c - \hat{c})\] Будет использоваться многократно.
Формулировка **теоремы Гаусса–Маркова**	При стандартных предположениях, для линейной функции \(\tau = Tc\) с оценкой \(\hat{\tau} = T\hat{c}\): **(а)** оценка **несмещённая**: \(\mathbb{E}\hat{\tau} = \tau\). **(б)** \(\hat{\tau}\) — **оптимальная** в классе **линейных по \(y\) несмещённых** оценок, с \(\text{cov}(\hat{\tau}) = \sigma^2 T A^{-1} T^T\).
В каком классе оценок ОНК оптимальна по Гауссу–Маркову?	В классе **линейных по \(y\) несмещённых** оценок. **Не во всех** несмещённых (это будет, когда добавим нормальность ошибок → ОНК становится ОМП).
Матрица ковариаций оценки \(\hat{c}\)	\[\text{cov}(\hat{c}) = \sigma^2 A^{-1}\] (получается из теоремы Гаусса-Маркова с \(T = I\)).
Несмещённая оценка остаточной дисперсии \(\sigma^2\)	\[\hat{\sigma}^2 = \frac{S^2(\hat{c})}{n - m}\] Аналогия: в выборочной дисперсии делили на \(n-1\), здесь — на \(n - m\) (число наблюдений минус число переменных).
Почему именно \(n - m\) в знаменателе \(\hat{\sigma}^2\)?	\(\mathbb{E}S^2(\hat{c}) = (n - m)\sigma^2\). Вывод: \(\mathbb{E}S^2(c) = n\sigma^2\) (раз \(Xc - y = -\varepsilon\)); \(\mathbb{E}[S^2(c) - S^2(\hat{c})] = m\sigma^2\) (через след). Разность даёт результат.
Доказательство несмещённости в теореме Гаусса-Маркова (схема)	\(\mathbb{E}\hat{\tau} = \mathbb{E}[T\hat{c}] = TA^{-1}X^T\mathbb{E}y = TA^{-1}X^T(Xc) = TA^{-1}Ac = Tc = \tau\). Используется \(\mathbb{E}\varepsilon = 0\) и \(X^TX = A\).
Что было показано: \(\mathbb{E}S^2(c) = ?\)	\(\mathbb{E}S^2(c) = n\sigma^2\). Доказательство: \(Xc - y = -\varepsilon\), значит \(S^2(c) = \varepsilon^T \varepsilon = \sum \varepsilon_i^2\), и \(\mathbb{E}\varepsilon_i^2 = \sigma^2\).
