Front	Back
**Критерий Пирсона на корреляцию**: постановка	Парная выборка из **двумерного нормального** распределения. \(H_0: \rho = 0\), альтернатива \(\rho \neq 0\) / \(> 0\) / \(< 0\).
**Критерий Пирсона на корреляцию**: статистика	\[t = \frac{\sqrt{n-2} \cdot \hat{\rho}}{\sqrt{1 - \hat{\rho}^2}}\] При \(H_0\): \(t \sim t(n-2)\) (Стьюдент с \(n-2\) степ. свободы).
Важная связь корреляции и независимости для гауссовского вектора	Обычно: независимость → некоррелированность (но не наоборот). **Для гауссовского вектора**: некоррелированность \(\Leftrightarrow\) независимость. Поэтому тест Пирсона проверяет независимость **по-честному** для гауссовских данных.
**Критерий квантилей**: постановка	Заданы числа \(q_1 < \ldots < q_N\) и \(p_1 < \ldots < p_N\). \(H_0: F(q_k) = p_k\) для всех \(k\) (то есть \(q_k\) — квантиль порядка \(p_k\)).
**Критерий квантилей**: сведение к Пирсону	Разбиваем ось на \(N+1\) интервалов \(\Delta_k\). При \(H_0\): \(P(X \in \Delta_k) = \Delta p_k\). Сводим к Пирсону: \[\chi^2 = \sum_k \frac{(\nu_k - n\Delta p_k)^2}{n\Delta p_k} \xrightarrow{d} \chi^2_N\]
**Критерий знаков**: что проверяет?	Частный случай критерия квантилей при \(N=1\), \(p_1 = 1/2\). Проверяет \(H_0: \text{медиана} = c_0\) для непрерывного распределения.
**Критерий знаков**: статистика	\[Z = \frac{\nu_1 - n/2}{\sqrt{n}/2} \xrightarrow{d} \mathcal{N}(0,1)\] где \(\nu_1\) — количество элементов выборки, **меньших** \(c_0\).
Применение критерия знаков к **парной выборке**	\(H_0: F_X = F_Y\) и \(X \perp Y\). Берём \(U_i = X_i - Y_i\). При \(H_0\): \(P(U > 0) = 1/2\) (по симметрии), значит **медиана \(U\) = 0**. Применяем критерий знаков с \(c_0 = 0\).
Что такое **ранг** элемента выборки?	Его индекс в вариационном ряду (отсортированной выборке). Если есть повторы, ранг можно определять по-разному (среднее, минимальный, дробный и т.д.).
**Критерий Манна–Уитни**: постановка	Две независимые выборки. \(H_0\): однородны (\(F_X = F_Y\)). Хорошо ловит **сдвиги распределения**.
**Статистика Манна–Уитни** \(U_1\)	\[U_1 = \sum_{r=1}^m \sum_{s=1}^n \mathbb{I}\{X_r < Y_s\}\] Количество пар, где \(X\) меньше \(Y\). При \(H_0\): \(\mathbb{E}U_1 = mn/2\).
Распределение \(U_1\) при больших \(m, n\)	\[U_1 \approx \mathcal{N}\left(\frac{mn}{2}, \frac{mn(n+m+1)}{12}\right)\] При малых \(m, n\) — табулировано.
**Статистика Уилкоксона** \(T\)	\[T = \sum_{i=1}^m R_i\] — сумма рангов первой выборки в **объединённой**. Связь: \(T + U_1 = mn + \frac{n(n+1)}{2}\) — линейная.
**Коэффициент корреляции Спирмена**	Выборочный коэффициент корреляции Пирсона между **рангами**: \(\hat{\rho}_\text{Spearman} = \hat{\rho}_\text{Pearson}(R, S)\) где \(R_k, S_k\) — ранги \(X_k, Y_k\) в своих выборках.
**Коэффициент корреляции Кендалла** \(\tau\)	После сортировки пар по первому атрибуту: \[\tau = \frac{2}{n(n-1)}\sum_{i<j}\text{sgn}(T_j - T_i)\] Считает «инверсии» в перестановке. Близок к \(\pm 1\) при сильной зависимости, к 0 — при случайной.
Что общего у тестов Спирмена и Кендалла?	Оба хорошо ловят **монотонную** зависимость. **Не ловят** немонотонную зависимость (тест примет \(H_0\), даже если зависимость есть).
**Критерий инверсий**: что проверяет?	Согласованность с **моделью простейшей выборки** (i.i.d.). \(H_0\): величины независимы и одинаково распределены. Для непрерывных с.в.
Что такое **инверсия** в выборке \(X_1, \ldots, X_n\)?	Пара \((X_i, X_j)\) при \(i < j\) образует инверсию, если \(X_j < X_i\) (то есть в порядке возрастания \(X_j\) стоит раньше).
Распределение статистики критерия инверсий	\(N\) — общее число инверсий. При больших \(n\): \[N \approx \mathcal{N}\left(\frac{n(n-1)}{4}, \frac{n(n-1)(2n+5)}{72}\right)\] Среднее = половина максимально возможного.
Когда критерий инверсий выдаёт малое \(N\) или большое \(N\)?	**Малое \(N\) (≈ 0)**: выборка отсортирована по возрастанию — не случайна. **Большое \(N\) (≈ \(n(n-1)/2\))**: отсортирована по убыванию — не случайна. **Среднее \(N\)**: случайна.
