Front	Back
Содержательная интерпретация ДИ уровня 95%	Если провести 100 экспериментов и для каждого построить свой ДИ, то **в ~95 случаях из 100** реальный параметр окажется внутри построенного интервала.
ДИ для **разности матожиданий** (известные дисперсии)	Две независимые выборки. \(\bar{y} - \bar{x} \sim \mathcal{N}(\mu_y - \mu_x, \sigma_y^2/m + \sigma_x^2/n)\). ДИ: \[\tau \in \bar{y} - \bar{x} \pm u_{1-\alpha/2}\sqrt{\frac{\sigma_y^2}{m} + \frac{\sigma_x^2}{n}}\]
Важное про дисперсии **разности** независимых величин	Дисперсия суммы И разности независимых = **сумма** дисперсий (дисперсии не вычитаются! иначе могло бы получиться отрицательно).
ДИ для разности \(\mu\) при **равных неизвестных** дисперсиях	Через теорему Фишера: \(\frac{n S_x^{*2} + m S_y^{*2}}{\sigma^2} \sim \chi^2_{n+m-2}\). Итоговая статистика \(\sim t_{n+m-2}\), \(\sigma^2\) сокращается. Громоздкая формула с \(\sqrt{(m+n)(nS_x^{*2}+mS_y^{*2})/(mn(n+m-2))}\).
Что такое **проблема Беренса–Фишера**?	Задача о ДИ для разности \(\mu\) при **неравных неизвестных** дисперсиях. В общем случае **не имеет точного решения** в замкнутом виде.
ДИ для **отношения дисперсий** \(\sigma_y^2/\sigma_x^2\) (\(\mu\) неизвестны)	По теореме Фишера: \(\frac{s_x^2 / \sigma_x^2}{s_y^2 / \sigma_y^2} \sim F_{n-1, m-1}\). ДИ: \[\frac{\sigma_y^2}{\sigma_x^2} \in \left[F_{\alpha/2} \frac{s_y^2}{s_x^2}, F_{1-\alpha/2} \frac{s_y^2}{s_x^2}\right]\]
Симметричен ли \(F\)-распределение?	**Нет**, не симметрично относительно 0 (носитель — положительная ось). Поэтому используются обе квантили \(F_{\alpha/2}\) и \(F_{1-\alpha/2}\).
Универсальный рецепт: \(u_i = F_\theta(X_i)\) — какое распределение?	**\(U[0,1]\)** — равномерное на \([0,1]\). Доказывается: \(P(F_\theta(X_i) \leq t) = P(X_i \leq F_\theta^{-1}(t)) = t\).
Универсальный рецепт: \(v_i = -\ln u_i\) — какое распределение?	**Экспоненциальное** с параметром 1 (\(\text{Exp}(1)\)).
Сумма \(\sum v_i = -\sum \ln F_\theta(X_i)\) — какое распределение?	**Гамма-распределение** \(\Gamma(n, 1)\) — сумма независимых экспоненциальных.
Почему универсальный рецепт работает «в кавычках»?	Получили статистику с известным распределением, но после преобразований (логарифм + ФР) **неравенство часто не разрешимо** относительно \(\theta\) в замкнутом виде.
Дай определение **асимптотического ДИ**	\[\lim_{n \to \infty} P(\theta \in [L(x), R(x)]) \geq 1 - \alpha\] Используется, когда у статистики есть **предельное** распределение, не зависящее от \(\theta\).
Асимптотический ДИ для матожидания (общий)	\[\mu \in \overline{X} \pm u_{1-\alpha/2} \cdot \frac{s}{\sqrt{n}}\] Статистика \(\frac{\sqrt{n}(\overline{X} - \mu)}{s} \xrightarrow{d} \mathcal{N}(0,1)\) по ЦПТ (если существует дисперсия).
Что такое **стандартная ошибка** (Standard Error)?	Величина перед квантилём в ДИ. Для среднего: \(SE = s/\sqrt{n}\).
Асимптотический ДИ для \(p\) (Бернулли)	Подставив состоятельную оценку \(\hat{p} = \overline{X}\) в знаменатель: \[p \in \overline{X} \pm u_{1-\alpha/2}\sqrt{\frac{\overline{X}(1 - \overline{X})}{n}}\]
Когда допустима **подстановка состоятельной оценки**?	Только если оценка состоятельна. В асимптотических ДИ оценки близки к реальному значению, поэтому сходимость к \(\mathcal{N}(0,1)\) сохраняется.
Асимптотический ДИ для медианы	\[m \in x_{(\lfloor n/2 \rfloor)} \pm \frac{u_{1-\alpha/2}}{2\sqrt{n}\, f(m)}\] Проблема: \(f(m)\) неизвестно — подставляем состоятельные оценки.
Асимптотический ДИ через ОМП	Если \(\hat{\theta}\) — ОМП, в регулярной модели: \(\sqrt{n \cdot i(\hat{\theta})}(\hat{\theta} - \theta) \xrightarrow{d} \mathcal{N}(0,1)\). Отсюда стандартно извлекается ДИ.
В чём суть проверки статистических гипотез?	Для каждой ситуации формулируем: \(H_0\) — **предположение по умолчанию** (нет аномалии/связи). \(H_1\) — **альтернатива** (то, что хотим «доказать»). Стат-тесты — не строгое доказательство, а аргументация.
Всегда ли \(H_0 \cup H_1 = \Omega\) (всё пространство)?	**Не всегда**. Пример: \(H_0\) = «не виновен», \(H_1\) = «виновен в убийстве». Возможны другие сценарии (мошенничество), не покрытые ни той, ни другой гипотезой.
Какая альтернатива при измерении температуры в общем случае?	\(H_0: \mu = 36{,}6\). Альтернатива зависит от ситуации: общий случай → **двусторонняя** \(\neq\); инфекционист → **правосторонняя** \(>\); болезни с пониженной — **левосторонняя** \(<\).
